ID_MEDICO;NOMBRE_MEDICO;APELLIDO_MEDICO;EMAIL_MEDICO
1;SOFIA;GONZALEZ;SOFIA.GONZALEZ@EMAIL.COM
2;MARTIN;SOTO;MARTIN.SOTO@EMAIL.COM
3;VALENTINA;TORRES;VALENTINA.TORRES@EMAIL.COM
4;MATIAS;DIAZ;MATIAS.DIAZ@EMAIL.COM
5;ANTONIA;HERRERA;ANTONIA.HERRERA@EMAIL.COM
6;SEBASTIAN;CASTRO;SEBASTIAN.CASTRO@EMAIL.COM
7;ISABELLA;MUÑOZ;ISABELLA.MUNOZ@EMAIL.COM
8;NICOLAS;CONTRERAS;NICOLAS.CONTRERAS@EMAIL.COM
9;RENATA;ROJAS;RENATA.ROJAS@EMAIL.COM
10;FRANCISCO;PEREZ;FRANCISCO.PEREZ@EMAIL.COM
11;FAUSTINO;GUEVARA;FAUSTINO.GUEVARA@GMAIL.COM
12;AMANCIO;CARDOZO;AMANCIO.CARDOZO@GMAIL.COM
13;ARTEMIO;FARINELLO;ARTEMIO.FARINELLO@GMAIL.COM
14;DELFINA;CARACCIOLO;DELFINA.CARACCIOLO@GMAIL.COM
15;BENICIO;CUNIETTI;BENICIO.CUNIETTI@GMAIL.COM
